,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timing,,Project Information,,,,,,,,,,,Property Information,,,,,,,Broker Guidence,,,Description,Actual Price,,
2,2025/01/09,Teaser,Project ASP,Teemu Vaahteranoksa,Tekova Development Oy,Cushman & Wakefield,Finland,Kuopio,No,Teollisuuskatu 6,"70,620",,Retail,"7,312",-,"1,060,000",145,8,-,-,-,-,"Forward retail big box investment opportunity in Kuopio. Construction time 12 months, forward funding or forward purchase. Tenants will be Gigantti, Power and Jula.",-,-,-,
52,2024/12/23,Teaser,Project Proximal,Carl Rosén,,Savills,Sweden,Various,Yes,Kungsgatan 103,"75,318",Kungsängen 34:3,Light Industrial,"10,590",255,-,-,0,-,-,-,-,"Centrally located light industrial property with significant development potential. The property is strategically positioned near Uppsala city center and major transport routes. Rental income is MSEK 2.7, unspecified whether it is triple net. There is a mutual 3 months mutual notice period and with a waiver from security of tenure agreement in place. 10,590 sqm is currently leased to Riddermark Bil AB",-,-,-,
3,2025/01/13,Lead,Noatun,Filip Gustavsson,,Nordanö,Sweden,Strömstad,No,Trädgårdsgatan 10,"45,231",,Residential,"9,996","2,175","17,104,000","1,711",-,100.00%,-,-,-,"The project is located in the Myren area in central Strömstad and consists of two neighbourhoods, Linden and Häggen. It consists of 256 new apartments. The project was sold to Runar Vatne in 2021, however he was not able to take over when the project was finished in 2023. Ongoing discussions between parties, but likely a new sales process in 2025. The project is valued at 400 mSEK. ",-,-,-,
3,2025/01/13,IM,Project Wired,Anthony Romano,Goldilocks Holding S.á.r.l,Colliers,Denmark,Various,Yes,Telegrafvej 6,2750 Ballerup,"1bu Pederstrup By, Pederstrup",Logistics,"17,037",522,"8,376,134",492,1,90.00%,-,-,-,"Located in Ballerup, these properties offer excellent connectivity to Greater Copenhagen, making them ideal for logistics.The portfolio includes two well-established logistics properties with significant leasable areas.",-,-,-,
3,2025/01/15,IM,Project Kite,Filip Gustavsson,Reliwe & Derome,Nordanö,Sweden,Various,Yes,Hanvedens allé 23-27,"14,635",Rullbanan 2,Residential,"9,886","3,072","27,796,000","2,812",-,-,-,-,-,"The property is located in Riksten, which offers good communication options with convenient access both by car and public transport. Rullbanan 2 consists of four buildings which houses 110 residential units. Inflygningen 1 contains one building (Building D) with 105 residential units. It is located right across the street from Rullbanan 2. ",-,-,-,
3,2025/01/16,IM,Storskogen,Filip Gustavsson,Skanska Sverige AB,Svefa,Sweden,Various,Yes,,,"Storskogen 1:2, 1:3, 1:4, 1:7, 1:8, 1:9, 1:83",Residential,"35,676",-,-,-,-,-,-,-,-,"Located in the new district of Storskogen, about 2 km south of central Enköping, this project offers significant residential development opportunities. They have building rights for 339 units with a GFA of 35,676 sqm.  ",-,-,-,
3,2025/01/13,Teaser,Takatie 6,Mathias Vuorelma,-,Tuloskiinteistöt,Finland,Kempele,No,Takatie 6,"90,440",,Industrial,"23,618",-,"600,000",25,-,72.00%,15.38%,"3,900,000",165,"Three buildings, total lettable area 23,618 sqm. In total 28 tenants and leased area some 17,000 sqm. The main tenant Metalpower Oy (8,131 sqm) has fixed 10-year lease agreement",-,-,-,
3,2025/01/16,IM,Priorparken 839,Anthony Romano,Areim,,Denmark,Brøndby,No,Priorparken 839,2605 Brøndby,,Industrial,"15,056",423,"8,602,526",571,4,79.05%,6.08%,"141,511,929","9,399","Located in a prime last-mile location in Greater Copenhagen, Priorparken 839 is a high-quality light industrial property with strong anchor tenants. The property offers multiple value-creation opportunities and benefits from excellent accessibility and infrastructure. ",-,-,-,
4,2025/01/20,IM,Alle Byers Boligselskab,Anthony Romano,Alle Byers Boligselskab ApS,Savills,Denmark,Various,Yes,,,NykøbingHuse,Residential,"33,625","1,529","45,145,590","1,343",-,-,5.50%,"820,828,909","24,411","Residential portfolio comprising diverse projects across Denmark, showcasing development and operational potential.",-,-,-,
4,2025/01/20,Lead,Project Transit,Anthony Romano,PFA,Colliers,Denmark,Brøndby,No,Priorparken 385,2605 Brøndby,,Logistics,"25,400",-,-,-,10,-,-,-,-,"The project has an excellent location at the centre of Greater Copenhagen right next to the motorway grid. PostNord has been a tenant since 1997, and signed a 10-year contract in August 2024, with a termination notice of 12 months. ",-,-,-,
4,2025/01/21,Teaser,The Rock Portfolio,David Hävermark,Svenska Verksamhetsfastigheter,CBRE,Sweden,Various,Yes,,,,Industrial,"275,000","1,055",-,-,4,-,-,-,-,"A portfolio of 60 properties and 300 tenants, positioned in some of Sweden's largest and most dynamic regions: Stockholm, Gothenburg, Malmö and Mälardalen. ",-,-,-,
4,2025/01/21,IM,Project Grace 2,Erik Widmark,Wallenstam,Savills,Sweden,Nacka,No,Värmdövägen,"13,140",Sicklaön 134:36,Residential,"9,778","3,300","31,100,000","3,181",-,-,-,-,-,"Situated in Nacka, Stockholm's rapidly urbanizing suburb, the property offers excellent transport links and modern facilities, including energy-efficient systems and commercial spaces. The rent for the residential leases is fixed and cannot be increased until January 2027.",-,-,-,
4,2025/01/22,Teaser,Project Crane,David Hävermark,K-Fastigheter,Catella,Sweden,Various,Yes,,,,Residential,"59,022","2,660","136,400,000","2,311",-,-,-,-,-,"The portfolio consists of eight properties with 975 residential units across the greater Gothenburg area. Out of the 975 apartments, 558 are completed and 417 are under construction. ",-,-,-,
4,2025/01/22,Teaser,Project Emerald 2,Anthony Romano,FLSmidth & Co A/S,Catella,Denmark,Copenhagen,No,,,Matr. nr. 2055 A/S,Residential,"71,449",-,-,-,-,-,-,-,-,"Located in Valby, a prime district in Copenhagen, Project Emerald offers a rare development opportunity with excellent connectivity and a flexible development framework, allowing for significant residential and commercial development potential. 75% of the property are residential units while the remaining 25% are commercial units
",-,-,-,
4,2025/01/23,IM,Project Proximal 2,Carl Rosén,Prisma Properties AB,Savills,Sweden,Uppsala,No,Kungsgatan 103,753 18,Kungsängen 34:3,Industrial,"13,016",188,"1,927,000",148,1,100.00%,-,-,-,"Located strategically in Uppsala's Kungsängen district, the property benefits from proximity to major transport routes and Uppsala Central train station, making it ideal for last-mile logistics and consumer-focused operations. The property also offers significant development potential with flexible zoning allowances.",-,-,-,
4,2025/01/22,Teaser,Project Dune 2,Hanna Rauhala,eQ Commercial Properties Fund,Cushman & Wakefield,Finland,Hämeenlinna,No,Länsiportintie 15,"13,430",,Industrial,"21,700",-,"2,050,000",94,10,100.00%,-,-,-,"Single-tenant asset with a double-net lease in Hämeenlinna. Was in a semi off-market in 2024, now the lease has been extended and the deal is in structured process.",-,-,-,
4,2025/01/24,Teaser,Project Switch,Carl Rosén,Veho Bil Fastigheter,Reagle,Sweden,Västerås,No,Wijkmansgatan 1-3,721 36,Strömbrytaren 1,Industrial,"3,102",-,"3,833,000","1,236",7,100.00%,-,-,-,"Located in Finnslätten, ca. 4 km from central Västerås. The area is known for its concentration of high-tech companies and innovative industries. The property is fully used by Veho today, and will be leased back to the seller simultaneously at the time of the transaction. ",-,-,-,
5,2025/01/27,IM,Project Crane 2,David Hävermark,K-Fastigheter,Catella,Sweden,Various,Yes,Björkekärr,441 91,Sävenäs 131:12,Residential,"59,021","2,512","136,416,000","2,311",-,100.00%,-,-,-,"	Located in the growing Greater Gothenburg area, Project Crane offers a high-quality residential portfolio with excellent public transport access and proximity to key amenities.",-,-,-,
5,2025/01/27,IM,Briggen ,Filip Gustavsson,Arbetarefostadsfonden,Cushman & Wakefield,Sweden,Lindingö,No,Fregattvägen 3-7,181 37,Briggen 2 ,Residential,"7,371","1,316","7,236,000",982,-,98.00%,2.50%,"290,000,000","39,343","Located with views over Lilla Värtan and Kungliga Djurgården, the property is close to public transportation and local amenities.",-,-,-,
5,2025/01/29,IM,Project Sol 2,Carl Rosén,RE NL Property AB,CBRE,Sweden,Various,Yes,Vältgatan 12,702 27,Mobilkranen 4,Logistics,"71,305",714,"54,693,360",767,9,100.00%,-,-,-,"The Project Sol portfolio comprises three strategically located logistics properties in Sweden, fully leased to strong tenants with long-term agreements. These modern facilities are situated in key logistics hubs, providing excellent connectivity and ensuring stable income streams through 100% occupancy and CPI-indexed rents.





",-,-,-,
5,2025/01/29,IM,Project Meridian,Josefin Bergholtz,SPGA Fagersta,Croisette,Sweden,Various,Yes,,,,Residential,"9,258","1,137","7,324,000",791,-,97.00%,-,-,-,"The properties are centrally located in Fagersta and Norberg, offering easy access to local amenities and public transport.	",-,-,-,
5,2025/01/29,Lead,Alelyckan,Niclas Jakobsen,Göteborg kommun,Mike Kommersiella Fastigheter,Sweden,Gothenburg,No,Alelyckan,415 02,,Industrial,"2,700",-,-,-,-,-,-,"9,800,000","3,630","An undeveloped property in Alelyckan, Gothenburg with building rights for light industrial purposes. The 6,708 sqm plot allows for a max building height of 10m and 50% utilisation according to the zoning plan. ",-,-,-,
5,2025/01/29,Teaser,Project Granite,Hanna Rauhala,DEAS Property Fund Finland I Ky,CBRE,Finland,Various,Yes,Suokalliontie 9,,,Light Industrial,"20,552",-,"2,100,000",102,-,-,-,-,-,"Light industrial/warehouse/office portfolio with 4 properties. Three of the properties are located in Aviapolis, Vantaa, and one in Kerava. Freehold plots. 16 tenants.",-,-,-,
5,2025/01/27,Teaser,Project Cyber,Mathias Vuorelma,n.a.,Reagle,Finland,Vantaa,No,Petikontie 23,"1,720",,Retail,"9,647",-,"1,680,000",174,-,100.00%,-,-,-,Car retail / light intustrial property located in Vantaa. Main tenant Tesla. Occupancy rate 100% and WAULT ca. 8.4 years.,-,-,-,
5,2025/01/29,Lead,Platinvej,Anthony Romano,,Colliers,Denmark,Kolding,No,Platinvej 14,DK-6000,,Logistics,"24,800",-,-,-,15,100.00%,-,-,-,The property is a distribution centre fully let to VELUX A/S. The warehouse space has 7.5-14m ceiling height and complementary office space. It is leased with an NNN-lease with a 15-year non-terminability (incl. two years' notice). ,-,-,-,
5,2025/02/01,Teaser,Rosewood,Anthony Romano,New World Development Company Ltd,RCP Finance,Denmark,Copenhagen,No,,,,Hotel,-,-,"15,197,725",-,-,68.00%,11.56%,"131,500,000",-,This is a development project located in a prime area of Copenhagen. The Rosewood property will include 85-95 hotel keys and 5-10 branded residences. The development benefits from its proximity to major attractions and the financial district.,-,-,-,
6,2025/02/03,IM,Åkersberga & Uppsala,David Hävermark,Belin & Söderlund,Tentacle,Sweden,Various,Yes,Sågvägen 22,184 40 Åkersberga,Runö 7:104,Industrial,"5,451","1,214","5,715,619","1,049",-,-,-,-,-,"The portfolio consists of five industrial and office properties located in Åkersberga and Uppsala. The two properties in Åkersberga is situated in areas designated for future residential development by the municipality, including the Kanalstaden project, which aims to create 3,000 new homes. The portfolio is located near Stockholm, Uppsala and Arlanda as well as transport links. ",-,-,-,
6,2025/02/04,Teaser,Hjälpmedelscentral,Albin Östmarck,Xenturi Fastigheter,Colliers,Sweden,Stockholm,No,Domnarvsgatan 16,163 53,Stockholm Virsbo 5	,Industrial,"1,639","2,131","3,182,000","1,941",9,100.00%,-,-,-,"The property is in Lunda industrial area, Stockholm. It is fully leased to Sodexo AB, which operates a medical equipment center under contract with Region Stockholm. The location offers good transport connections, including proximity to Förbifart Stockholm and public transit.",-,-,-,
6,2025/02/04,IM,Project Transit 2,Anthony Romano,PFA,Colliers,Denmark,Brøndby,No,Priorparken 385,DK-2605 Brøndby,"19h Brøndbyøster By, Brøndbyøster",Logistics,"25,404",659,"16,786,308",661,10,100.00%,-,-,-,"The property is a fully leased last-mile distribution center in Greater Copenhagen, serving as a regional hub for PostNord. It features a sorting facility with 40 loading docks and EV charging stations. The location provides connectivity to Copenhagen and southern Sweden via major motorways.",-,-,-,
6,2025/02/04,IM,Hammarby Sjöstad & Hökarängen,Josefin Bergholtz,Primula Byggnads,Arctic Securities,Sweden,Various,Yes,Hammarby allé 112-120,120 65,Mältaren 1,Residential,"33,553","2,552","67,794,000","2,021",-,-,4.04%,"1,676,092,500","49,954","The portfolio consists of four properties in Stockholm, combining residential, office and commercial spaces. The properties are located in growing urban areas. The indicative price for Hökarängen is 45-50 kSEK/sqm and 50-55 kSEK/sqm for Hammarby Sjöstad",-,-,-,
7,2025/02/10,IM,Norslunda 1:26,Simon Klinga,Arlandastad Group AB & Bake My Day Holding AB,CBRE,Sweden,Sigtuna,No,Lindberghs gata 5,195 61,Norslunda 1:26,Industrial,"9,689","2,466","23,457,148","2,421",15,100.00%,-,-,-,A built-to-suit food production facility leased to Bake My Day on a long-term 15-year contract. Located in Arlandastad area near Stockholm Arlanda Airport. The tenant has made significant investments in energy efficiency and food production standards to ensure sustainable operations.,-,-,-,
7,2025/02/10,IM,Norslunda 1:7,Simon Klinga,Arlandastad Group AB,CBRE,Sweden,Sigtuna,No,Thulins Plats 4A	,195 61,Norslunda 1:7,Industrial,"4,746","1,812","6,993,000","1,473",3,92.00%,-,-,-,"A multi-let automotive service and sales facility in Arlandastad, featuring 11 tenants. The asset includes a mix of car services, sales, and parking, with further development potential of approximately 9,000 sqm.",-,-,-,
7,2025/02/10,IM,Bankomat & OneMore,Simon Klinga,Arlandastad Group AB,CBRE,Sweden,Various,Yes,Pionjärvägen 69	,195 61,Norslunda 1:35	,Logistics,"3,569","1,941","6,921,000","1,939",8,100.00%,-,-,-,"The portfolio consists of two newly developed properties in Arlandstad, Sigtuna, leased to Bankomat and OneMore AB. Bankomat has a 15-year contract. The property being leased to OneMore AB is under development with expected completion in August 2025.",-,-,-,
7,2025/02/12,IM,Project Tygelsjö,Antonia Nyman,Tygelsjö Gård Förskola AB,Sundsstaden,Sweden,Various,Yes,Laavägen 43-45,218 72,Tygelsjö Gård 2,Public Use,"2,100","2,031","4,359,000","2,076",10,100.00%,-,-,-,"The Project Tygelsjö portfolio consists of two fully leased properties in Malmö, both rented by Malmö municipality. The portfolio includes a modern preschool built in 2019 as well as an LSS residential property that was renovated in 2014 and 2022 to meet specialised care requirements.",-,-,-,
7,2025/02/12,IM,Project Sävedalens Torg,Antonia Nyman,L-Å Eveberg Fastighetsutveckling AB & Berith Margareta Eveberg,Panreal,Sweden,Various,Yes,Göteborgsvägen 28-34,463 30,Ugglum 2:311,Mixed,"2,503","1,907","4,400,000","1,758",2,100.00%,-,-,-,"Sävedalens Torg is a fully leased mixed-use property located in Sävedalen, on the border between Partille and Gothenburg. The property has strong anchor tenants, including Västra Götalandsregionen and Triumfglass. The property consists of retail, office and restaurant spaces, and a small warehouse. ",-,-,-,
7,2025/02/12,Teaser,Greve Main 12 -2,Anthony Romano,,Newsec,Denmark,Greve,No,Greve Main 12 ,DK-2670,,Light Industrial,"4,825",684,"3,300,000",684,10,100.00%,7.17%,"46,000,000","9,534",	A light industrial property located next to the E20 highway in Greve. The property is fully leased to Delicate A/S on a long-term contract. ,-,-,-,
7,2025/02/12,IM,Project Fuglekvarteret,Anthony Romano,NPV,Colliers,Denmark,Copenhagen,No,,,,Residential,"29,968","2,105","58,600,000","1,955",-,-,4.52%,"1,296,507,937","43,263","Fuglekvarteret is a large-scale urban redevelopment in Copenhagen, transforming a former industrial site into a residential and mixed-use neighbourhood. The project will be completed in multiple phases, featuring a mix of residential units, retail spaces, social housing, and a dedicated parking facility.",-,-,-,
7,2025/02/12,IM,Project Circle House,Anthony Romano,NPV,,Denmark,Greater Copenhagen,No,Kokkedal,DK-2980,Cirkelhusgrunden,Residential,"52,000","2,105","99,500,000","1,913",-,-,4.90%,"2,030,505,051","39,048","Circle House is a large-scale mixed-use development in Kokkedal, Fredensborg, featuring residential units, commercial spaces, and a parking facility. The project is being developed in two phases, with full completion expected in 2029.",-,-,-,
7,2025/02/13,IM,Tumba Skog,Josefin Bergholtz,Magnolia,,Sweden,Botkyrka,No,,,Tumba 7:112,Residential,"17,245","2,898","47,725,000","2,767",-,-,5.00%,"954,500,000","55,349","Tumba Skog is a large-scale residential development located in Botkyrka, Sweden, approximately 1.5 km from Tumba Centrum. Magnolia plans to buil around 348 new homes in this area, consisting of rental apartments and townhouses, with construction beginning in Q1 2026 and expected completion between 2028 and 2029.",-,-,-,
7,2025/02/14,IM,Project Doppingen,Albin Östmarck,HG Byggen Entreprenad AB,Angermann,Sweden,Various,Yes,Kaptensgatan 1,602 38,Norrköping Doppingen 3,Light Industrial,"6,322",665,"3,370,026",533,4,32.43%,-,-,-,"Project Doppingen is a portfolio of four light industrial properties in Norrköping, located near the E4 highway and Norrköping harbor. The properties have flexible zoning regulations for further expansion. ",-,-,-,
8,2025/02/17,IM,Skinderskovvej 32,Anthony Romano,Papyro-Tex A/S,Savills,Denmark,Various,Yes,Skinderskovvej 32,"2,730","30b, Hjortespring",Industrial,"12,923",650,"5,558,085",430,-,-,-,-,-,"Skinderskovvej 32 is a vacant industrial property in Herlev, Greater Copenhagen. The site has some soil contamination due to past industrial use, and any remediation costs will be the responsibility of the buyer.",-,-,-,
8,2025/02/17,IM,Project Park Lane,Josefin Bergholtz,JM,Tango,Sweden,Järfälla,No,"Debetvägen 8, Mäldgatan 9-13",175 42 ,Jakobsberg 2:22383,Residential,"11,530","3,266","32,789,000","2,844",-,-,-,-,-,"JM is developing 205 residential units in Söderdalen, to be completed in 2026-2027. The project consists of 11,293 sqm residential area and 237 sqm commercial space. ",-,-,-,
8,2025/02/18,IM,"Tværhøjen, Greve",Anthony Romano,Casa Nord,Cushman & Wakefield,Denmark,Greve,No,,,,Residential,"10,936","1,671",-,-,-,-,-,-,-,The project consists of 97 townhouses in Greve. Turnkey delivery is expected in August 2025.,-,-,-,
8,2025/02/20,IM,Hvidovrevej,Anthony Romano,Innovater,,Denmark,Hvidovre,No,Hvidovrevej 432-438,"2,650",,Residential,"15,033","1,975","25,264,575","1,681",-,-,-,-,-,"A residential and commercial development in Hvidovre, Denmark. The project includes 188 residential apartments, commercial spaces for retail and cafes, and a raised courtyard with shared facilities.",-,-,-,
8,2025/02/20,IM,Project Big Box Retail,Anthony Romano,Innovater,Nordicals,Denmark,Various,Yes,Storebæltsvej 10,DK-5800,,Retail,"41,320","1,143","48,168,960","1,166",12,98.72%,-,-,-,"This portfolio consists of three retail parks in Nyborg, Haslev, and Aalborg Nord, developed by Innovater A/S. The properties include a total of 32 rental units with major tenants such as JYSK, Elgiganten, Coop, and Harald Nyborg.",-,-,-,
7,2025/02/11,IM,Söderhall 5:10,David Hävermark,Ecocycled Sverige AB,Fredegårds Fastighetsbyrå,Sweden,Vallentuna,No,Roslagsstoppet 3,186 97,Söderhall 5:10,Industrial Development,"126,608",-,-,-,-,-,-,-,-,"Söderhall 5:10 is an industrial development site in Vallentuna, north of Stockholm, adjacent to the E18 highway.",-,-,-,
8,2025/02/19,IM,Project Eklund,Josefin Bergholtz,Mirmor Holding AB,Tango,Sweden,Various,Yes,Hållsätrabacken 9-27,127 36,Hållsätra 8,Residential,"11,270","1,480","10,119,000",898,-,98.82%,-,-,-,"Two properties in Sätra and Bredäng with a total of 137 apartments. A building permit exists for the creation of additional residential area in Sätra, approx. 200 sqm of new space. ",-,-,-,
8,2025/02/21,IM,Portfölj Huddinge,Simon Klinga,Erik Selin Fastigheter,Catella,Sweden,Various,Yes,Jägerhorns Väg 6,141 75,Altartorpet 22,Mixed,"9,822","1,613","13,857,526","1,411",3,90.75%,-,-,-,"Portfölj Huddinge consists of four commercial properties located in Huddinge, with a mix of industrial, retail, and office spaces. The portfolioio benefits from strong connectivity to major highways, ensuring access to central Stockholm and surrounding business districts.",-,-,-,
8,2025/02/21,IM,Portfölj Västberga,Simon Klinga,Erik Selin Fastigheter,Catella,Sweden,Various,Yes,Vretensborgsvägen 5,126 30,Dikesrenen 19,Mixed,"13,505","1,820","17,787,558","1,317",2,88.80%,-,-,-,"Portfölj Västberga consists of five properties positioned in Västberga, Stockholm. The portfolio includes a mix of industrial, office, and retail spaces. With connectivity to major transport routes, the properties offer redevelopment potential.",-,-,-,
8,2025/02/21,IM,Älvjsö ,Simon Klinga,Erik Selin Fastigheter,Catella,Sweden,Various,Yes,Varuvägen 9,125 30,Konsumenten 2,Office,"20,948","1,778",-,-,5,77.00%,-,-,-,"Älvsjö Konsumenten 2 is an office property situated along Huddingevägen in Älvsjö, near Älvsjö Station and Stockholmsmässan.",-,-,-,
8,2025/02/21,IM,Mölndal Kusken,Josefin Bergholtz,"Byggservicegruppen i Göteborg AB, Joakim Olsson, Henn Soppi, Anders Svensson, Lars Svensson",Newsec,Sweden,Various,Yes,Ragnar Thorngrens gata 2,431 45,Kusken 6,Office,"2,647","2,446","5,377,000","2,031",4,100.00%,-,-,-,"Mölndal Kusken consists of two properties strategically located in Åby, Mölndal, close to the E6 highway and major transport routes. Kusken 6 comprises office and industrial spaces, while Kusken 8 includes a fully leased gym with long-term agreements. ",-,-,-,
8,2025/02/21,IM,Project Scipio,Anthony Romano,Bonum Development,Catella,Denmark,Various,Yes,,,,Residential,"9,788","1,900",-,-,-,-,-,-,-,"A residential development project comprising 132 apartments across four buildings, with completion expected by the end of Q1 2026. ",-,-,-,
9,2025/02/24,IM,Åldermannavägen 1,Albin Östmarck,AZH Holding AB,Bjurfors Näringsliv,Sweden,Various,Yes,Åldermannavägen 1,145 57,Rotemannen 5,Logistics,"1,500",-,-,-,-,-,-,-,-,"An industrial and logistics property in Alby Industriområde, just three minutes from the E4/E20 highway. The property features a 1,300 sqm warehouse with up to 10 meters of ceiling height and office spaces. Fully vacant.",-,-,-,
9,2025/02/24,IM,Case Täby,Josefin Bergholtz,Storsala,,Sweden,Various,Yes,,,,Residential,"11,027","3,172","36,121,733","3,276",-,-,4.85%,"744,778,000","67,541","A residential development project in Täby, consisting of 236 built-to-rent apartments with a mix of studio, one-, two-, and three-bedroom units. Storsala acts as both developer and project manager.",-,-,-,
9,2025/02/24,IM,Case Märsta,Josefin Bergholtz,Storsala,,Sweden,Various,Yes,,,Sätuna 3:200,Residential,"4,593","2,822","13,731,000","2,990",-,-,5.00%,"274,620,000","59,791","A built-to-rent residential development in Märsta, with 94 apartments and 87 parking spaces, designed to include studio, one-, and two-bedroom units. The mixed-use project also contains approximately 400 sqm for commercial use, such as shops and restaurants. Storsala will be actively overseeing the development.",-,-,-,
9,2025/02/24,IM,Case Solberga,Josefin Bergholtz,Storsala,,Sweden,Various,Yes,,,,Residential,"5,602","3,221","16,841,030","3,006",-,-,4.75%,"354,548,000","63,290","A residential development in Solberga, featuring 99 built-to-rent apartments ranging from studios to four-bedroom units.",-,-,-,
9,2025/02/24,IM,Case Orminge,Josefin Bergholtz,Storsala,,Sweden,Various,Yes,,,Orminge 60:1,Residential,"8,977","2,983","27,753,168","3,092",-,-,4.80%,"578,191,000","64,408","A built-to-rent residential development in Orminge, Nacka, consisting of 177 apartments with a mix of studios, one-, two-, and three-bedroom units. ",-,-,-,
9,2025/02/24,Teaser,Project Hamlet,Anthony Romano,,Colliers,Denmark,Various,Yes,,,,Last-mile logistics,"116,000",-,"44,000,000",379,4,91.00%,-,-,-,"Project Hamlet is a last-mile logistics portfolio in Denmark, featuring 12 assets across the Capital Region and Triangle Region. The portfolio has a strong tenant mix, high occupancy, and an ESG roadmap aimed at long-term sustainability improvements. ",-,-,-,
8,2025/02/21,Teaser,Droppen,Josefin Bergholtz,Granitor Properties AB,Catella,Sweden,Various,Yes,Hyllie Stationsväg 19-25,215 32,Gästgiveriet 1,Residential,"5,547","2,921","14,997,000","2,704",-,-,-,-,-,"Droppen is a newly developed residential property in the Hyllie district of Malmö, featuring 108 apartments and a ground-floor commercial unit. It is positioned just minutes from Hyllie Station. ",-,-,-,
9,2025/02/26,Teaser,Valseholmen 10,Anthony Romano,,CBRE,Denmark,Hvidovre,No,Valseholmen 10,"2,670","43ao, Avedøre By",Light Industrial,"4,192",750,-,-,-,-,-,"49,000,000","11,689",Valseholmen 10 is a light industrial property located in the Avedøre Holme business district. The property will be fully vacant in May 2025. The sale price depends on whether the property is sold stabilized with tenants (DKK 50-52 million) or vacant (DKK 46-48 million).,-,-,-,
9,2025/02/26,Teaser,Vallmovallen,Josefin Bergholtz,Peab,Catella,Sweden,Vellinge,No,"Vallgatan 4A-B, 6-18, Ängavägen 15",235 36,Vellinge 99:148,Residential,"6,023","2,190","11,438,000","1,899",-,-,-,-,-,"Vallmovallen is a planned residential project in Vellinge, consisting of two multi-family buildings with 102 apartments. There will be a retail unit on the ground floor and 22 parking spaces.",-,-,-,
9,2025/02/27,Teaser,Project Bluebell,David Hävermark,Flower,JLL,Sweden,Various,Yes,,,,Energy & Infrastructure,-,-,-,-,-,-,-,-,-,"Project Bluebell is a large-scale Battery Energy Storage System (BESS) investment opportunity led by Flower. The portfolio includes operational and under-construction BESS assets across Sweden, with additional development rights for 2.8GW of projects across multiple European countries. The joint venture structure allows an investor to acquire a majority stake in the AssetCo while leveraging Flower’s expertise in trading and optimisation.",-,-,-,
10,2025/03/05,IM,Projekt Grönfinken,Josefin Bergholtz,HanssonGruppen,Tango,Sweden,Borås,No,Östermalmsgatan 28,504 55,Grönfiken 1,Public Use,"6,109","1,401","5,737,000",939,15,100.00%,-,-,-,"Grönfinken is a fully leased social infrastructure property in Borås, Sweden, featuring a mix of municipal services and residential units. Borås Stad has signed a new 15-year lease. The asset offers future development potential with the possibility of adding additional floors for municipal or residential use.",-,-,-,
10,2025/03/05,IM,Project Nova,Josefin Bergholtz,Resona Utveckling AB,NorthCap Advisory,Sweden,Sollentuna,No,Kanalvägen 11,191 34,Trollvagnen 1 & 3,Residential,"16,784","3,263","51,654,084","3,078",-,-,-,-,-,"Residential development project in central Sollentuna, Stockholm, consisting of 309 rental apartments. ",-,-,-,
10,2025/03/04,Teaser,Project Note,Mathias Vuorelma,,Cushman & Wakefield,Finland,Vantaa,No,,,,Logistics,"7,000",-,"800,000",114,2,-,-,-,-,"Logistics asset located next to Helsinki Airport in Vantaa, Finland. The property was built in 2008 and has been fully occupied by RCK Finland Oy since its completion.",-,-,-,
10,2025/03/04,Teaser,Project Lighthouse 2,Mathias Vuorelma,Castlelake,Cushman & Wakefield,Finland,Various,Yes,,,,Logistics,"60,000",-,"5,700,000",95,3,96.00%,-,-,-,"Last-mile logistics and light industrial portfolio located around Ring Road III in Helsinki Metropolitan area. The portfolio includes 14 assets with significant upside potential through rent reversion, leasing of vacant space, and optimization of unused building rights. With a stable, diversified tenant base and 99% of cash flow inflation-hedged, the portfolio offers strong income security and long-term growth opportunities.	",-,-,-,
10,2025/03/04,Lead,Kalundborg II,Kristina Alderin,,,Denmark,Kalundborg,No,Lerchenfeldvej 71,"4,400",,Residential,"8,000",-,-,-,-,-,-,-,-,"Residential project with c. 85 rowhouses. Local plan expected in Q2 2026. Trim, the developer, is in negotiations with the land owner to secure an option on the plot. Project will be built in two phases, with the project completed as of Q3 2027.",-,-,-,
10,2025/03/04,Lead,Jyderup,Kristina Alderin,,,Denmark,Holbæk,No,Rådbjergvej 4F,"4,450",,Residential,"15,000",-,-,-,-,-,-,-,-,"Residential project in Jyderup consisting of c. 165 rowhouses. Building permit is expected in Q3 2025. Trim, the developer, is in negotiations with the land owner to secure an option on the plot. The project will be built in five phases and has an expected completion in Q3 2027.",-,-,-,
10,2025/03/04,Lead,Kalundborg III ,Kristina Alderin,,,Denmark,Kalundborg,No,,,,Residential,-,-,-,-,-,-,-,-,-,"Trim, the developer, is in negotiations with the land owner next to the plot we intent to build on in Kalundborg, to see if we can secure additional area. Upon receiving more information we will evaluate the opportunity, taking into considerations that we do not want to be overallocated in one city.",-,-,-,
10,2025/03/04,Lead,Helsinge II,Kristina Alderin,,,Denmark,Gribskov,No,Troldemosevej 3,"3,200",,Residential,"15,000",-,-,-,-,-,-,-,-,"Residential project in Helsinge. Trim, the developer, is in discussions with Troldeutvikling, option owner. Project will be built in five phases, with the entire project completed as of Q4 2027.",-,-,-,
