Country,Timing,,,,,,Property Information,,,,,,,,Description
,Week nr.,Date received,Project name,Recieved by,Seller,Location,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","WAULT, years","Economic occupancy rate, %","Deal value, MCCY",Yield,Comment 
Finland,36,2025/09/02,Verde,Mathias Vuorelma,,Riihimäki,Logistics,"8,000",-,150,15,100%,-,-,"The asset will be delivered in 2027 as a modern logistics and production facility. It is leased to a financially strong international tenant under a 15-year triple net lease. The building targets BREEAM Excellent and at least EPC B, and benefits from excellent connectivity within 1 hour of Helsinki and Tampere."
Sweden,36,2025/09/02,Gävle,Filip Gustavsson,,Gävle,Industrial,"11,403","1,185","1,425",4,-,-,-,Four properties in Gävle with around 20 different tenants. 
Sweden,36,2025/09/02,Kvartetten (2),Filip Gustavsson,,Various,Residential,"3,271","1,565","1,406",-,-,-,-,"Portfolio of four residential assets in Stockholm (Bromma, Hägersten, Enskede). 50 apartments in total, of which 27 are leased on short-term contracts"
Sweden,36,2025/09/02,Lindin,Filip Gustavsson,Lindin Förvaltning AB,Various,Industrial,"7,256","1,437","1,641",-,-,198,6.0%,"Portfolio of four assets, located in Karlskoga, Enköping, Strängnäs and Katrineholm. Tenants: Carspect, Mekonomen, Rusta, Dekra, Ahlsell"
Sweden,36,2025/09/02,Sjöbris,Josefin Bergholtz,,Various,Residential,"2,746","1,705",-,-,95%,-,-,"Two residential buildings in Stockholm (Mälarhöjden and Aspudden). Built year 1944-1949. 32 apartments in Aspudden, 14 apartments in Mälarhöjden"
Sweden,36,2025/09/02,Lärlingen,Albin Östmarck,Logistri,Botkyrka,Industrial,"4,175",680,-,-,-,-,-,Warehouse/industrial property in Eriksberg. C. 50% vacancy
Denmark,36,2025/09/02,Hulemarken,Anthony Romano,UFT Group,Ringsted,"Residential, retail, cohousing","15,659",-,-,-,-,-,-,"Forward development project with ~202 apartments, a 1,200 sqm grocery anchor, small commercial space, and a 51-unit cohousing scheme. Construction expected to start summer 2025."
Sweden,36,2025/09/03,Västra Nybacka,Josefin Bergholtz,Kungsvåningen,Nacka,Residential,"7,005","3,002","2,125",-,98%,350,4.3%,"Leashold property in Orminge, Nacka. 114 apartments, completed 2020"
Norway,36,2025/09/03,Project Athena,Patrik Andersson,,Various,Logistics,"186,326",-,-,-,-,-,-,"Prime logistics portfolio of 18 properties in Lindeberg, Langhus and Vestby in Oslo regio"
Sweden,36,2025/09/03,Projekt Vitello,Albin Östmarck,Nynäshamn Fastighet AB & Nyfast AB,Various,Industrial,"4,666","1,044",929,-,98%,-,-,"Portfolio of 4 light industrial assets in Nynäshamn, leased to 11 different tenants. The properties include warehouse, office and retail premises"
Sweden,36,2025/09/03,Hedenbacken Större 10,Josefin Bergholtz,Axel och Sofia Alms Stiftelse,Stockholm,Residential,"2,390",-,-,-,94%,-,-,"Corner property in central Östermalm with 16 apartments and four commercial premises, including Restaurang Kommendören. Prestigious address with strong tenant demand. One 130 sqm apartment is currently vacant, offering immediate upside. Rental value of SEK 4.9M"
Sweden,36,2025/09/04,Project Kite (2),Johan Onsjö,Reliwe AB & Derome AB,Various,Residential,"9,888","2,510","2,862",-,100%,-,-,"215 newly built rental units in Riksten, Botkyrka. The first phase was completed in April 2025 and is fully let. The second phase was completed in August 2025, leasing is ongoing"
Sweden,36,2025/09/04,Hammarby-Smedby,Josefin Bergholtz,Maelir Fastigheter Holding AB,Various,Mixed Use,"10,666","1,412","1,081",-,-,-,-,"Office/industrial building with 19 office units and 10 storage areas plus underground garage; Brandkåren is anchor tenant (25% of rent). There is also an undeveloped land plot of 3,145 sqm with zoning allowing ~6,000 sqm BTA for offices/light industry; pre-approval for hotel concept"
Sweden,36,2025/09/04,Torque,Albin Östmarck,,Various,Light industrial,"46,260",-,-,-,-,-,-,"Portfolio of 15 institutional-grade assets built 2015–2024 with strong ESG profile (EPC A & B), solar panels, geothermal heating, and 22 tenants in prime locations. Rental value of SEK 77M"
Sweden,36,2025/09/04,Fireball,Josefin Bergholtz,Profi Fastigheter,Various,Residential,"11,538","3,060","2,833",-,-,-,-,"211 apartments in central Haninge and Upplands Väsby. Over 11,000 sqm lettable area including three commercial premises"
Sweden,36,2025/09/04,Lindbacken,Kristina Alderin,,Various,Residential,"10,956",-,-,-,-,-,-,"Project of 96 rental apartments (MFR) and 48 BRFs in Lindbacken, outside of Uppsala"
Sweden,36,2025/09/04,Sphere,David Hävermark,,Gothenburg,Office,"28,386","3,100","3,523",4,98%,-,-,"Four interconnected office buildings in Gårda, Gothenburg, refurbished 2021–2022, LEED Gold certified, anchored by Telia and other international tenants"
Denmark,36,2025/09/04,Troldebakkerne,Anthony Romano,Troldebakkerne ApS,Helsinge,Residential,"6,159","1,570","1,369",-,100%,180,4.7%,"62 newly built terraced houses in Helsinge, Nordsjælland, designed with high-quality finishes and sustainable features. Fully let at competitive rents, located near Hillerød and 40 minutes from Copenhagen. The property was acquired for DKK 180 million, corresponding to an initial yield of 4.75%."
Denmark,36,2025/09/04,Projekt Stokværk,Anthony Romano,Projekt Stokværk ApS,Kalundborg,Residential,"2,176","2,156","1,928",-,100%,75,5.6%,"34 newly built houses in Kalundborg fully leased to Novo Nordisk Engineering on a long lease, delivered furnished, located in one of Denmark’s strongest growth areas."
Denmark,36,2025/09/04,Projekt Fjordglimt,Anthony Romano,Projekt Fjordglimt ApS,Kalundborg,Residential,"2,320","2,200","1,970",3,100%,78,5.9%,"31 new single-storey terraced houses in Kalundborg, fully leased to Novo Nordisk Engineering on a long-term contract, built with modern finishes and energy-efficient systems. All units are leased to Novo Nordisk Engineering on a long agreement with a minimum 3-year. lock-in and staggered termination rights. Base rent (DKK/sqm) between DK2,159-2,210."
Sweden,36,2025/09/04,Projekt Sunnan,Filip Gustavsson,Camogu Fastighets AB,Stockholm,Residential,720,"1,895","1,328",-,75%,25,3.9%,"12 apartments (576 sqm) and one restaurant (144 sqm, leased to Texas Longhorn). Located in Bromma. Built 1942, strong conversion potential as 9/12 units are vacant or short-term, located near Abrahamsberg with good transport links."
Finland,36,2025/09/02,Maple,Mathias Vuorelma,Sponda,Ylöjärvi,Retail,"24,300",-,91,10,77%,-,-,"Retail park in Tampere region. The property is anchored by K-Citymarket with a 15-year lease and supported by Jula and McDonald’s. Daily services account for 85% of rental income. The retail park, built in 2009, has a BREEAM Very Good rating with a roadmap to Excellent and EPC A."
Sweden,36,2025/09/05,Project Bjärred,David Hävermark,Bjeredsparken AB (Nordea Liv Fastighet I AB),Lomma,Retail,"5,275","1,953","1,529",3,99%,-,-,"Centrally located retail hub in affluent Bjärred, anchored by ICA, Region Skåne, Nordic Wellness and other essential services."
Sweden,36,2025/09/05,Project Ringerike,David Hävermark,Ringerike Fastighets AB (Nordea Liv Fastighet I AB),Various,Retail,"3,747",-,"1,757",3,90%,-,-,"Two modern retail buildings in Malmö’s prime Svågertorp area with strong exposure, tenants incl. Thule, Kvik, Ballingslöv; portfolio certified BREEAM In-Use."
Sweden,36,2025/09/05,Project Sundsvall,Josefin Bergholtz,Adeator Fastigheter Holding AB,Various,Residential,"4,241","1,554",933,-,-,-,-,"The portfolio comprises six fully let residential properties in central Sundsvall, offering stable cash flow with diversified building ages from late 1800s to mid-1900s. The assets provide secure income while also holding selective value-add potential through refurbishment and attic conversions."
Sweden,36,2025/09/05,Project Stäket Strand,Josefin Bergholtz,Stäket Strand Utsikten Holding AB,Järfälla,Residential,"5,595",-,-,-,-,-,-,Development project with 71 planned apartments and lakeside location at Mälaren; zoning plan expected adoption in 2025.
Sweden,36,2025/09/05,Project Trinity (2),David Hävermark,Adeator Fastigheter Holding AB (via subs.),Various,Retail,"30,218",-,-,11,-,-,-,"Portfolio of three high-end car retail properties in Uppsala and Eskilstuna let to Möller Bil group. Modern assets in prime auto clusters with very long lease terms and guaranteed income, ensuring stability and growth potential in the expanding Mälardalen region."
Sweden,36,2025/09/05,Project Royal  (2),Carl Rosén,Nordisk Renting AB,Uppsala,Retail,"14,238","1,755","1,695",6,-,-,-,"Large automotive retail property in Uppsala’s Kungsängen cluster with Bilbolaget as anchor tenant. Strong regional draw and excellent visibility, supported by long lease and good technical standard after recent upgrades."
Sweden,37,2025/09/08,Project Änge Läge,Filip Gustavsson,Änge Läge Fastigheter AB,Various,Residential,"2,433","1,207",910,-,-,39,5.7%,Four residential buildings built 1992/94 with 42 apartments; long tenant tenure and stable cash flow.
Sweden,37,2025/09/08,Project Lit Läge,Filip Gustavsson,Lit Läge Fastigheter AB,Östersund,Residential,"1,823","1,088",924,-,-,26,6.5%,Single-property company; 1991-built resi block with 25 apartments and garage; high occupancy.
Sweden,37,2025/09/08,Gnistan 5 & Plantan 17,David Hävermark,Willhem Malmö AB,Malmö,Residential,"1,551","1,676","1,032",-,-,-,-,"Two centrally located Malmö residential assets with stable housing demand and parking income. The properties benefit from popular urban locations near Nobeltorget with good transit, and offer potential for further rent increases through ongoing renovation initiatives."
Sweden,37,2025/09/08,Sankt Gertrud 26,David Hävermark,Fastighetsföreningen S:t Gertrud u.p.a,Malmö,Office,"1,510","3,219","2,523",-,100%,-,-,"Historic office property in Malmö’s Gamla Staden, fully let to Handelsbanken. Recently refurbished to modern standards and situated next to a planned boutique hotel, offering strong tenant covenant and future upside from the evolving neighbourhood."
Denmark,37,2025/09/08,Project Mylo,Anthony Romano,DFI,Copenhagen,Residential,"11,439",-,-,-,100%,-,-,"Newly built residential scheme in Copenhagen Sydhavn with 333 units and extensive amenities. Fully let with strong demand, ESG-certified and located in a fast-developing urban district with direct metro and S-train access."
Denmark,37,2025/09/08,Project Granskoven,Anthony Romano,,Glostrup,Residential,"5,382","1,645",-,-,-,-,-,Danish residential property “Granskoven”; teaser highlights stable residential income stream.  60 multifamily units and two commercial units. 
Sweden,37,2025/09/09,Project Palladium,Carl Rosén,Svenska Spels Förvaltnings AB,Stockholm,Mixed Use,"6,454",-,-,-,-,-,-,"Historic landmark building originally developed as Stockholm’s largest cinema and later converted to a casino. Currently vacant, the asset offers flexible layouts, prime CBD location at Vasagatan/Kungsgatan, and strong potential for repositioning into office, hospitality, or mixed-use concepts."
Sweden,37,2025/09/09,Librobäck,Filip Gustavsson,Menir Fastigheter Uppsala AB,Various,Industrial,"2,281","1,121",947,-,95%,-,-,"Portfolio of two modern industrial/office properties in Librobäck, Uppsala, both ~5 km from central city. Combined leasable area ~2,300 sqm. Tenants include Statens Historiska Museer (government) and local industrial users. Properties in normal condition with stable cash flows."
Sweden,37,2025/09/09,Projekt Smörgatan,Josefin Bergholtz,Kommanditbolaget Smörkallen,Göteborg,Residential,"3,042","2,107","1,696",-,100%,-,-,"Modern residential property built 2009 in Kallebäck, Göteborg with 47 apartments (38 regular, 9 BmSS). Includes block lease to Göteborgs Stad for BmSS and antenna contract with Telia. Strong residential location near Korsvägen and Delsjön, stable fully let asset with 28 parking spaces."
Norway,37,2025/09/09,Project Gateway (2),David Hävermark,Ragde Eiendom AS,Various,Mix Use,"79,514","1,839",-,7,96%,-,-,"A last-mile logistics and wholesale cluster of ~80,000 sqm leasable area, strategically located at Alnabruterminalen in Oslo’s Groruddalen. Anchored by tenants Duri Fagprofil (13,291 sqm, 22.4m NOK rent) and Storcash (10,524 sqm, 19.8m NOK rent). Strong demand drivers with upside from lease reversion, vacancy lease-up (~3,025 sqm vacant), and identified development projects. Net NOI 148.8m NOK (2026E, total)."
Sweden,37,2025/09/10,Halmstad Portfolio,David Hävermark,Willhem AB,Various,Residential,"1,732","1,443",924,-,-,-,-,"A portfolio of 5 centrally located residential properties in Halmstad with total 22 apartments. Combined rental income of c. 2.5m SEK, NOI 1.6m SEK. Properties are well-maintained with potential for standard upgrades and future conversion to condominiums."
Sweden,37,2025/09/10,Eskilstuna Portfolio,Filip Gustavsson,HSB Sörmlandsbostäder AB,Various,Residential,"6,397","1,405",-,-,-,-,-,"A consolidated residential portfolio of 10 buildings totaling 97 apartments (~6,400 BOA + 1,400 LOA). Centrally located with stable cash flows. NOI is ~6,500,000 (total rent value (resi+parking+retail) ~10m – costs ~3.5m)."
Sweden,37,2025/09/10,Kopparcronan,Albin Östmarck,Kopparcronan AB,Various,Commercial,"6,018","4,266","1,651",-,100%,-,-,"Portfolio of 7 properties in Stockholm suburbs (Täby, Haninge, Huddinge, Lidingö). Anchored by strong tenants including Ahlsell, Ramirent, Preem, and Lixon Holding. Good transport connectivity and strategic industrial locations."
Denmark,37,2025/09/10,Kølholt Vejle V,Kristina Alderin,,Vejle,Residential,"16,750","1,410","1,213",-,-,420,4.8%,"Planned residential area in Vejle with 165 units (107 units are one story terraced houses and 58 are two story terraced houses). Includes landscaped green areas, ponds, and parking. Early-stage project with site plan approved; financials driven by future rental income once built."
Finland,37,2025/09/10,Project Nordhaven,Mathias Vuorelma,Ilmarinen Mutual Pension Insurance Company,Various,Residential,"54,133",-,151,-,94%,-,-,"Large-scale residential portfolio with 999 apartments across 13 assets in Helsinki metro. Leasable area is 54,133sqm total (53,526 resi + 586 comm). €9.2m fully-let NOI (2026), €8.2m current NOI, €11.7m potential NOI.  Strong fundamentals with 99.9% rent collection, 27% churn, and value-add potential from rent uplift (+6%), refurbishments (+21%), and ESG upgrades. Clear roadmap to EU taxonomy compliance (A–C EPC). Portfolio strategically located near rail links (86% of NOI within walking distance)."
Sweden,37,2025/09/11,Project Alice (2),Carl Rosén,,Stockholm,Public Use,-,-,-,19,100%,-,-,"Newly built in 2024 in Liljeholmen, Stockholm. Tenants are Internationella Engelska Skolan and City of Stockholm, both on 20-year CPI-indexed leases with municipal guarantee. Facility includes school for 1,200+ students and Stockholm’s largest sports facility with 20,000 annual hours."
Various,37,2025/09/11,Project Mermaid,Johan Onsjö,Weinert Holding,Various,Hotels,-,-,-,-,-,-,-,"Portfolio of 10 lifestyle hotels across Denmark, Germany, and Norway. Includes 928 keys in Denmark, 403 in Germany, and 49 in Norway. Anchored by Copenhagen with pipeline projects in Aarhus and Hamburg. Strong brand in sustainable hospitality."
Sweden,37,2025/09/11,Spånga – Flysta,Filip Gustavsson,Tibur Property AB,Various,Residential,"1,416","1,675","1,482",-,100%,-,-,"Two multi-family residential properties in Flysta, Spånga. A total of 23 apartments (1,181 sqm) and 3 premises/storage units (235 sqm) on a freehold plot of 3,041 sqm. Built in 1947–49, with ongoing renovations (roof, plumbing, geothermal heating, solar panels, windows). Possible building rights between the houses. Located in a residential neighborhood close to public transport and Palmérs Park."
Denmark,37,2025/09/11,Vigerslev Stationstorv,Anthony Romano,RSP Partnership A/S,Copenhagen,Residential,"22,100",-,-,-,-,-,-,"Residential-led development in Valby with ~22,100 sqm build rights. Plan includes ~2,950 sqm retail (two supermarkets with long pre-contracts), 6,050 sqm student housing, 5,550 sqm non-profit assisted living, and 7,550 sqm family housing. Attractive location by Vigerslev S-train station, next to Grønttorvet development."
Denmark,37,2025/09/11,Egeparken,Kristina Alderin,Ejendomsselskabet Egeparkshusene ApS,Fredensborg,Residential,"11,136","1,632","1,412",-,100%,370,4.3%,"Modern residential rental property built 2008–2018 with 112 apartments and 2 commercial units. Avg. unit size 97 sqm with balconies/terraces, strong location in green setting. Fully let, NOI ~15.7m DKK, priced at 370m DKK (yield 4.53%)."
Sweden,37,2025/09/11,Selmedalsvägen 78,Filip Gustavsson,,Stockholm,Residential,"5,025",-,-,-,-,190,-,"Residential property in Hägersten with 61 units totaling 5,025 sqm BOA. Offered at an asking price of 190m SEK."
Sweden,37,2025/09/11,Nyponvägen 9,Filip Gustavsson,,Vallentuna,Residential,"3,457",-,-,-,-,11,-,"Four building-ready plots in Ormsta, Vallentuna, totaling 3,457 sqm. Approved detailed plan with municipal water/sewage connection. Asking price 11m SEK. Suitable for parhus/newbuild project in established residential area with good communications."
Sweden,37,2025/09/12,Projekt Mantorp,David Hävermark,Eiendoms Compagniet Sverige AB,Mjölby,Retail,"19,910",826,388,-,75%,-,-,"Depot Mantorp is a major retail destination along E4 with City Gross as anchor tenant (73% of rental income, lease to 2031). Includes 11 tenants such as Kronans Apotek, Team Sportia, Instabox. Features Sweden’s largest Tesla Supercharger station (40 stalls, +20 contracted). Large expansion potential (40,000 sqm build rights). Recently refurbished (2013, 2023–24). Est. NOI 2025 is 7,733 TSEK and fully rented Est. NOI 2025 is 14,200 TSEK."
Sweden,37,2025/09/12,Project Solkvarteret,Josefin Bergholtz,NordLo Fastigheter AB,Malmö,Residential,"4,204","2,060","2,094",-,100%,-,-,"Prime residential asset in Hyllie, Malmö. Two newly built buildings (2022) with 85 modern rental apartments, one commercial unit (55 sqm), and parking rights (41 spaces). Certified FEBY Gold & EPC B, with solar panels and smart energy solutions. NOI ~8.8m SEK (2026E). Excellent commuter location 500m from Hyllie station, 8 min to Malmö C and 12 min to Copenhagen Airport."
Sweden,38,2025/09/15,Projekt Faxholm,Erik Widmark,Willhem Fastigheter Helsingborg AB,Various,Residential,503,"1,455",934,-,-,-,-,"Portfolio of six residential terraced houses in Rydebäck/Sydvästra Ättekulla, Helsingborg. Built 1990–91, total BOA 503 sqm. Fully let with NOI ~470k SEK, stable single-family housing stock, modern heating systems, and good residential location close to transport and amenities."
Sweden,38,2025/09/15,Projekt Pyran,Erik Widmark,Willhem Fastigheter Helsingborg AB,Helsingborg,Residential,"2,764","1,585","1,118",-,97%,-,-,"Centrally located 1929-built residential property with 38 apartments (avg. 68 sqm) and 6 commercial units. Fully let with NOI ~3.1m SEK, strong residential demand. Extensive renovations 2020–2025 (~5.4m SEK invested) and further upside from “Willhemlyft” apartment upgrades."
Sweden,38,2025/09/16,Projekt Sjöbris,Josefin Bergholtz,Thomas Morne & Ulla-Britt Seymour,Various,Residential,"2,767","1,632","1,057",-,94%,-,-,"Portfolio of two residential properties in Aspudden and Mälarhöjden, Stockholm. Total 46 apartments + 2 commercial units, 2,767 sqm BOA. Combined NOI ~3.2m SEK (2025 fully let). Properties built 1944–49, ongoing renovations, with upside from further apartment refurbishments and attic/basement conversion potential. Short distance to Stockholm CBD (15–18 min)."
Sweden,38,2025/09/17,Project Citadel,Carl Rosén,,Various,Logistics,"97,200","1,051",-,6,96%,-,-,"Portfolio of 5 modern last-mile assets across Stockholm & Gothenburg. Strong covenants with 100% CPI-indexed leases, WAULT 6.2 yrs, occupancy 96%. Reversionary potential >15% and identified development opportunities (e.g. Jordbromalm)."
Denmark,38,2025/09/17,Project Gloss,Kristina Alderin,Provinord A/S / JV Catella & Nordkranen,Glostrup,Residential,"22,331","1,920","1,200",-,-,-,-,"Large affordable housing project in Glostrup with 205 units (193 apartments + 12 terraced houses), 208 parking spaces. Estimated rent of 1,920 DKK/sqm and target exit yield of 4.25% resi and 4.5% parking. Total project cost ~524m DKK. Construction starts 2026, completion 2028. Catella & Nordkranen managing with RAWO as turnkey contractor."
Denmark,38,2025/09/18,Project Cube (2),Anthony Romano,Kuben Management A/S (subsidiary of NRGi),Faxe,Logistics,"130,000",-,-,-,-,-,-,"Logistics development site in southern Zealand with 130,000 sqm build rights on 260,000sqm land. Located by E47 motorway, ~1h south of Copenhagen. Strategic hub benefiting from 2029 Fehmarn Belt tunnel. Municipality supportive; sustainability focus with solar rooftops."
Sweden,38,2025/09/18,Guldsmedshyttan,David Hävermark,Baettr Holding GmbH,Lindesberg (Örebro County),Industrial,"22,000",-,-,-,-,-,-,"Historic Swedish iron foundry site closing in Oct 2025. 22,000 sqm production on 440,000 sqm land. Potential for defense industry, industrial park, or data center (7MW power capacity)."
Sweden,38,2025/09/18,Gamlestads Smedja,Carl Rosén,PEAB,Gothenburg,Office ,"12,986","2,932","2,812",7,69%,-,-,"Newly built 2024 office property in Gamlestaden, Gothenburg. Anchored by PEAB, Swisslog, Swedbank, Nordic Wellness, Spaces/IWG, atNorth. PEAB lease guarantee to 95% occupancy. Excellent transport at Gamlestads Torg."
Sweden,38,2025/09/18,Project Window,Carl Rosén,,Various,Office,"28,112","3,370","1,434",3,61%,-,-,"Portfolio of three centrally located office/healthcare assets in Gårda, Gothenburg, totalling 28,112 sqm. Current NOI 40.3m SEK, with potential 78m SEK fully let. Certified LEED Platinum (Gröna Skrapan) and BREEAM (others). Strong connectivity to Ullevi and E6/E20, vacancy upside and stable tenant mix."
Sweden,38,2025/09/19,Projekt Castle (2),Josefin Bergholtz,Steninge Slott Fastighet 38 AB,Various,Residential,"5,178","2,149","1,721",-,100%,-,-,"Portfolio of 84 newly built apartments across three properties in Steninge Slottsby, Sigtuna. Delivered in 2023 with investment support and energy bonus, modern heating (geothermal) and solar panels, access to 100 parking spaces with EV charging. Strong rental growth with 10.5% negotiated increases in 2024–25, excellent commuter location close to Märsta, Arlanda, Stockholm, and Uppsala."
Sweden,38,2025/09/19,Project Oak (2),David Hävermark,Ingka Centres Kållered AB,Mölndal,Retail,"13,370",902,673,-,100%,-,-,"Major retail development opportunity in Kållered, Gothenburg region, adjacent to IKEA. Property includes 4 buildings with tenants like Coop, Systembolaget, Jysk, STC Gym, Kappahl. Current NOI ~9m SEK, with upside to 34.5m SEK upon full redevelopment. Catchment area 528,000 people, strong population growth, 61,500 daily cars on E6. Large zoning plan (18,650 sqm footprint rights) with strategic potential. 70% vacancy expected 2026."
Sweden,38,2025/09/19,Project Elise (2),Carl Rosén,Famera Fastigheter AB (via Famera Skola 1 AB),Norrtälje,Public use,"5,955","2,547","2,432",18,100%,-,-,"Newly built (2024) school asset fully let to Internationella Engelska Skolan on 18-year CPI-indexed lease. Includes 5,630 sqm school, 325 sqm sports hall, large schoolyard and expansion rights (2,600 sqm GTA). EPC class B, Miljöbyggnad Silver. Strategic location in Norrtälje growth area with strong demand for new schools."
Sweden,38,2025/09/19,Project Delta (2),David Hävermark,Humlegården Fastigheter AB,Various,Residential,"62,062","1,771",665,2,66%,-,-,"Residential portfolio of 8 properties across Stockholm suburbs totaling ~39,000 sqm. Stable NOI of ~61m SEK (2025E) with occupancy ~94%. WAULT ~3.7 years. Diversified tenant base, with upside from rent growth and refurbishments. Efficient management setup through geographically clustered assets."
Denmark,38,2025/09/19,Ejendommen Avedøreholmen 88,Anthony Romano,,Hvidovre,Industrial,"4,600",575,478,-,-,-,-,Well-located logistics/industrial property in Hvidovre south of Copenhagen. Fully let to strong covenant tenant with WAULT ~5 years. Info from 2023: stable cash flow with NOI 1.78 MDKK. Part of established logistics cluster near major transport links.
Denmark,38,2025/09/19,Spotorno,Anthony Romano,Spotorno Allé ApS,Taasturp,Residential,"12,008","1,741","1,462",-,-,-,-,"Coastal residential project in Liguria with build-out of ~120 holiday apartments across multiple blocks. Attractive seaside location in Spotorno, 60 km from Genoa. NOI potential ~3.8m EUR upon stabilization, with target yield ~5.5%. Development upside and strong demand for second homes in the region."
Denmark,38,2025/09/19,Projekt Falkely,Anthony Romano,Falkely Ejendomme (SPV),Ishøj,Residential,"9,788","1,924",-,-,-,-,-,"Planned residential project with 132 apartments in 4 blocks on a 9,788 sqm site in Ishøj. Location benefits from proximity to S-train, Copenhagen CBD and Øresund corridor. Sustainable design by Mangor & Nagel Arkitekter, delivery post-2026."
Denmark,39,2025/09/21,Project Anchor (2),Anthony Romano,Birch Ejendomme,Various,Residential,"71,901",-,-,-,39%,-,-,"Large-scale residential portfolio of 973 units across 5 high-growth municipalities (Greater Copenhagen, Aarhus, Horsens, Ringsted, Køge). Total ~71,900 sqm GFA, average unit size 73.9 sqm. 39% already completed and fully let, remainder under phased delivery 2026–2027. Strong ESG profile with DGNB certification, diversified tenant demand, and potential rental upside."
Sweden,39,2025/09/22,Project Breeze (2),Filip Gustavsson,Lille Oslo Eiendom AS,Burlöv,Residential,"6,748","2,222","1,847",-,100%,-,-,"Newly built (2021) residential property of 115 apartments with total 6,748 sqm.  An estimation of 4.0% for the annual residential rent increase for 2026 Rents ~20–25% below market at SEK 1,984/sqm. EPC rating B, solar panels, efficient FTX system. Prime location between Malmö and Lund, 5 min from Burlöv station with direct rail to Copenhagen. Strong commuter demand and long-term rent uplift potential after subsidy expiry."
Sweden,39,2025/09/23,Hardemogatan 1,Filip Gustavsson,OSCA Förvaltning Ett AB,Stockholm,Industrial,"3,583","1,163",698,-,100%,-,-,"Fully let industrial/office property opposite the metro; a 1973 building on leasehold land with upgrades (geothermal heating, FTX ventilation) and identified potential for residential development in the block."
Sweden,39,2025/09/23,Smälleklingan 3,Filip Gustavsson,Dentes Fastighets AB,Stockholm,Industrial,"2,167",729,-,-,-,29,-,"Industrial property with ~1,300 sqm unused building rights and a 130,000 SEK annual leasehold fee; partially let with opportunity to control the entire block together with neighboring Smälleklingan 2."
Sweden,39,2025/09/24,Malmö Hising 8,David Hävermark,Bennfast AB,Malmö,Residential,"2,305","1,851","1,397",-,-,-,-,1957 apartment building in Slottsstaden (32 units) with central location and stable housing cashflows; noted potential to convert the attic to up to four small apartments. Rental income for 2026 is estimated to reach around SEK 4.3 million and NOI 2026 to reach SEK 3.2 million.
Sweden,39,2025/09/24,Sisjö Entré,Carl Rosén,Union Investment Institutional Property GmbH (via Sisjö Entré Förvaltning AB),Gothenburg,Retail,"15,310","1,962",-,4,96%,-,-,"Prime 15,300 sqm retail asset anchored by Rusta, XXL, Arken Zoo in Sisjön retail park. Built 1974/2006 with ~450 parking spaces, strong transport links and catchment area. 90% of rent from A-rated tenants. Rental income 2026E ~30m SEK."
Sweden,39,2025/09/24,Karlstad Bostäder & Äldreboende,Carl Rosén,Willhem AB & Danaborg AB,Various,Residential,"4,505","1,641","1,199",-,-,-,-,"Portfolio of 32 apartments and one elderly care facility (60 beds + 5 apartments) in Karlstad. Central locations in Marieberg and Herrhagen, walking distance to services. Strong tenant covenant with Karlstad municipality for elderly care unit, and popular Willhem-renovated apartments."
Sweden,39,2025/09/24,Lerum Hjällsnäs 8:29,Carl Rosén,Willhem Fastigheter Väst AB,Lerum,Residential,"8,640","1,551",954,-,100%,-,-,"120 apartments across 10 two-story buildings in Gråbo, Lerum, with large green courtyards. NOI ~8.2m SEK. Half of units upgraded through Willhem-lyftet, strong demand (5–10 years queue time). Positive planning decision for two new buildings with ~40 apartments (2,830 sqm BTA), potential future upside."
Denmark,39,2025/09/24,Project ESV,Anthony Romano,,Rødovre,Residential,"15,480",-,-,-,-,-,-,"New-build residential project with 186 apartments across ~16,870 sqm (gross). 4–6 story buildings with elevators, underground and surface parking, bicycle facilities, storage rooms, and green landscaped areas. Each apartment has either a balcony or terrace. Built to BR18 energy standards, with district heating, floor heating, and ventilation. Completion targeted post-2025."
Denmark,39,2025/09/25,Hospitality House,Kristina Alderin,,Helsingør,Residential,"14,850","2,200","1,927",-,-,-,-,"Transformation of the former Helsingør Hospital into 165 apartments averaging 90 sqm. Total gross buildable area ~20,125 sqm with underground parking. Strong local rental demand (comparable new builds achieving 2,200+ DKK/sqm, which is the estimated placeholder for base rent). Developer estimates total cost ~483m DKK, with expected exit value ~602m DKK."
Denmark,39,2025/09/25,Køge Kyst,Køge Kyst,Private owner,Køge,Residential,"7,300",-,-,-,-,-,-,"Forward purchase of a ~7,300 sqm residential development in Køge Kyst, Søndre Havn. Scheme comprises 85 apartments (avg. 86 sqm) with underground parking (61 spaces) and 170 bicycle spaces. Central waterfront location in a major urban regeneration district. Design includes roof terraces, balconies, and community areas."
Sweden,39,2025/09/25,Steninge 64,Josefin Bergholtz,Steninge Fastighet 11:1 AB,Sigtuna,Residential,"7,758","1,747",888,-,95%,-,-,"Newly built (2022–23) mixed-use property in Steninge Slottsby with 108 rental apartments and 2 commercial units. Total lettable area ~7,758 sqm, NOI ~6.9m SEK (2025E). Strong local demand in Märsta/Sigtuna, supported by new community services and proximity to Märsta station/Arlanda. Modern energy solutions (FTX, bergvärme) in place."
